taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
46506	46506	                      Bacteroides stercoris	Bacteroides stercoris	species	16.07	abund	16.07	1544964	757305	20.748870238863777	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
28116	28116	                      Bacteroides ovatus	Bacteroides ovatus	species	11.46	abund	11.46	1101805	1088307	14.796642995480953	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
820	820	                      Bacteroides uniformis	Bacteroides uniformis	species	5.85	abund	5.85	562350	522943	7.553260167850224	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
371601	371601	                      Bacteroides xylanisolvens	Bacteroides xylanisolvens	species	5.11	abund	5.11	491220	464678	6.597805035506778	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
818	818	                      Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	3.36	abund	3.36	323273	323192	4.338282763072949	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
674529	674529	                      Bacteroides faecis	Bacteroides faecis	species	2.42	abund	2.42	232844	232844	3.1245965138799217	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2763022	2763022	                        Bacteroides sp. M10	Bacteroides sp. M10	species	0.93	abund	0.93	89591	89591	1.2007746933505485	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2785531	2785531	                        Bacteroides sp. HF-162	Bacteroides sp. HF-162	species	0.28	abund	0.28	26864	26864	0.3615235635894125	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
556259	556259	                        Bacteroides sp. D2	Bacteroides sp. D2	species	0.25	abund	0.25	23874	23874	0.3227888960619754	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2025659	2025659	                        Bacteroides sp. KFT8	Bacteroides sp. KFT8	species	0.24	abund	0.24	23322	23322	0.30987734021949637	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2847299	2847299	                        Bacteroides sp. DH3716P	Bacteroides sp. DH3716P	species	0.14	abund	0.14	13817	13817	0.18076178179470626	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2528203	2528203	                        Bacteroides sp. A1C1	Bacteroides sp. A1C1	species	0.08	abund	0.08	7628	7628	0.10329244673983212	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2755405	2755405	                        Bacteroides sp. CACC 737	Bacteroides sp. CACC 737	species	0.05	abund	0.05	4872	4872	0.06455777921239508	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3117552	3117552	                        Bacteroides sp. MSB163	Bacteroides sp. MSB163	species	0.04	abund	0.04	4237	4237	0.05164622336991606	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
3096000	3096000	                        Bacteroides sp. CG01	Bacteroides sp. CG01	species	0.04	abund	0.04	3477	3477	0.05164622336991606	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2162637	2162637	                        Bacteroides sp. PHL 2737	Bacteroides sp. PHL 2737	species	0.0	abund	0.0	231	231	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2709390	2709390	                        Bacteroides sp. ZJ-18	Bacteroides sp. ZJ-18	species	0.0	abund	0.0	115	115	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
469590	469590	                        Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4	species	0.0	abund	0.0	114	114	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2972761	2972761	                        Bacteroides sp. BFG-257	Bacteroides sp. BFG-257	species	0.0	abund	0.0	36	36	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2972765	2972765	                        Bacteroides sp. BFG-638	Bacteroides sp. BFG-638	species	0.0	abund	0.0	10	10	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
2972763	2972763	                        Bacteroides sp. BFG-606	Bacteroides sp. BFG-606	species	0.0	abund	0.0	2	2	0.0	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
47678	47678	                      Bacteroides caccae	Bacteroides caccae	species	0.96	abund	0.96	92157	75505	1.2395093608779855	0.7745000000000002	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	default	Kraken2_default
