taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0072	abund	0.0072	0.0124	0.0072000216000648	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
546	546	Citrobacter freundii	Citrobacter freundii	species	0.1722	abund	0.1722	0.2104	0.17220051660154978	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
562	562	Escherichia coli	Escherichia coli	species	0.8283	abund	0.8283	1.0245	0.8283024849074546	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.066	abund	0.066	0.0858	0.06600019800059401	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
582	582	Morganella morganii	Morganella morganii	species	0.0031	abund	0.0031	0.0031	0.0031000093000279	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	0.0074	abund	0.0074	0.0098	0.0074000222000666	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	5.4605	abund	5.4605	6.5905	5.4605163815491435	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	1.0737	abund	1.0737	1.3418	1.0737032211096633	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	4.920599999999999	abund	4.920599999999999	6.3895	4.920614761844285	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	0.0057	abund	0.0057	0.0035	0.0057000171000513005	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.0083	abund	0.0083	0.0062	0.0083000249000747	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1244	1244	Leuconostoc gelidum	Leuconostoc gelidum	species	0.0007	abund	0.0007	0.0004	0.0007000021000062999	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.0691	abund	0.0691	0.0443	0.06910020730062189	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.0316	abund	0.0316	0.015	0.0316000948002844	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.0046	abund	0.0046	0.0035	0.0046000138000413995	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1352	1352	Enterococcus faecium	Enterococcus faecium	species	0.0057	abund	0.0057	0.0043	0.0057000171000513005	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1353	1353	Enterococcus gallinarum	Enterococcus gallinarum	species	0.7362	abund	0.7362	0.5892	0.7362022086066257	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1358	1358	Lactococcus lactis	Lactococcus lactis	species	0.0009	abund	0.0009	0.0006	0.0009000027000081	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1382	1382	Lancefieldella parvula	Lancefieldella parvula	species	0.0061	abund	0.0061	0.0024	0.0061000183000549	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1491	1491	Clostridium botulinum	Clostridium botulinum	species	0.003	abund	0.003	0.003	0.0030000090000269998	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1522	1522	[Clostridium] innocuum	[Clostridium] innocuum	species	1.1452	abund	1.1452	1.3414	1.1452034356103067	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.1552	abund	0.1552	0.1281	0.1552004656013968	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1613	1613	Limosilactobacillus fermentum	Limosilactobacillus fermentum	species	0.0046	abund	0.0046	0.0022	0.0046000138000413995	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1639	1639	Listeria monocytogenes	Listeria monocytogenes	species	0.0021	abund	0.0021	0.0016	0.0021000063000189	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
28116	28116	Bacteroides ovatus	Bacteroides ovatus	species	22.2715	abund	22.2715	37.2899	22.271566814700446	0.999997	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
