taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	64	33	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4576573	234	183	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1959987	141	101	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	0	148	119	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	3665893	504	223	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4379231	23	11	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5140018	3637	1410	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9487953	481	252	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	138	93	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12349744	184	38	0.0	0.87554803117738	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
