taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
286	286	Pseudomonas	Pseudomonas	genus	0.0012	abund	0.0012	0.0019	0.0011999988000012	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.2897	abund	0.2897	0.3344	0.28969971030028974	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.0034999999999999	abund	0.0034999999999999	0.0040999999999999	0.0034999965000034	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	1.0825	abund	1.0825	1.2663	1.0824989175010824	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0162	abund	0.0162	0.0211	0.016199983800016197	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
590	590	Salmonella	Salmonella	genus	0.0019	abund	0.0019	0.0022	0.0018999981000019	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	47.275	abund	47.275	66.2586	47.27495272504727	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
904	904	Acidaminococcus	Acidaminococcus	genus	0.7611	abund	0.7611	0.4211	0.761099238900761	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1243	1243	Leuconostoc	Leuconostoc	genus	0.0026	abund	0.0026	0.0012	0.0025999974000026	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1279	1279	Staphylococcus	Staphylococcus	genus	0.6268	abund	0.6268	0.3801	0.6267993732006267	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.1957	abund	0.1957	0.0874	0.1956998043001957	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1350	1350	Enterococcus	Enterococcus	genus	4.5499	abund	4.5499	3.4398000000000004	4.549895450104549	1.0000010000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
