taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	130	63	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4576573	95	41	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1959987	21	12	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	3079044	10	8	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	3665893	470	314	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4379231	81	48	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5140018	1139	473	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9487953	640	175	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	104	48	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12349744	192	59	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910441	283	206	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12489432	341	264	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11388132	318	230	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	0	91	58	0.0	0.7941711407310318	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
