taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	114	63	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	602805	177	84	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3526441	90	30	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	6	5	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
19	19	Pelobacter carbinolicus	Pelobacter carbinolicus	species	0.0	abund	0.0	3665893	176	145	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	4749735	104	13	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	9139763	427	64	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8973512	340	69	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	104	48	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12349744	192	59	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	341	264	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	318	230	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	13907952	651	290	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
63	63	Vitreoscilla filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3787551	58	38	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	12227539	190	99	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	2469862	4	4	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
94	94	Stella humosa	Stella humosa	species	0.0	abund	0.0	5832650	132	44	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	6221273	179	162	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	17998094	228	88	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
119	119	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	species	0.0	abund	0.0	6006602	30	18	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	5460085	15	8	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	15634937	45	14	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
125	125	Pirellula staleyi	Pirellula staleyi	species	0.0	abund	0.0	6196199	107	86	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	5529304	84	57	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
134	134	Methylocystis parvus	Methylocystis parvus	species	0.0	abund	0.0	4529043	31	24	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
139	139	Borreliella burgdorferi	Borreliella burgdorferi	species	0.0	abund	0.0	1329613	16	0	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
140	140	Borrelia hermsii	Borrelia hermsii	species	0.0	abund	0.0	922280	23	12	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
141	141	Borrelia parkeri	Borrelia parkeri	species	0.0	abund	0.0	1030684	16	0	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
142	142	Borrelia turicatae	Borrelia turicatae	species	0.0	abund	0.0	1165365	36	1	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
143	143	Borrelia anserina	Borrelia anserina	species	0.0	abund	0.0	1042690	34	20	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
154	154	Spirochaeta thermophila	Spirochaeta thermophila	species	0.0	abund	0.0	2516433	115	72	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
158	158	Treponema denticola	Treponema denticola	species	0.0	abund	0.0	2843201	107	58	0.0	0.7942979717310317	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	default	Centrifuge_default
