taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	816	Bacteroides	Bacteroides	genus	20.27350793676862	abund_weighted	0.2027350793676862	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0613974434408932	0.2027350793676862	51235000	0.9139197735122394	13821683	24.790575663789465	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	239759	Alistipes	Alistipes	genus	3.3765497298700797	abund_weighted	0.0337654972987008	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0207793826342361	0.0337654972987008	17340000	0.8825312351328747	13821683	4.1288666875987134	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	572511	Blautia	Blautia	genus	0.44689926689823994	abund_weighted	0.0044689926689824	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0191496271335117	0.0044689926689824	15980000	0.8802090243217356	13821683	0.5464712927179151	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	2719313	Enterocloster	Enterocloster	genus	1.30337962460866	abund_weighted	0.0130337962460866	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0163011500561426	0.0130337962460866	13603000	0.8756481224700206	13821683	1.5937809728478893	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1485	Clostridium	Clostridium	genus	0.38899749039245	abund_weighted	0.0038899749039245	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Clostridium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0148691222448444	0.0038899749039245	12408000	0.8730547154005683	13821683	0.47566862866926785	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1263	Ruminococcus	Ruminococcus	genus	0.33631215532869	abund_weighted	0.0033631215532869	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0134334993846474	0.0033631215532869	11210000	0.8701998521201412	13821683	0.41124466270620613	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1506553	Lachnoclostridium	Lachnoclostridium	genus	0.25555498559761997	abund_weighted	0.0025555498559762	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoclostridium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0115389086150553	0.0025555498559762	9629000	0.8659427589161423	13821683	0.312494277086919	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	375288	Parabacteroides	Parabacteroides	genus	2.93965648032877	abund_weighted	0.0293965648032877	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0114849828815754	0.0293965648032877	9584000	0.8658119182339713	13821683	3.59463081714486	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	946234	Flavonifractor	Flavonifractor	genus	0.45733214978233	abund_weighted	0.0045733214978233	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0104867576373818	0.0045733214978233	8751000	0.8632760991963179	13821683	0.5592286888891231	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	841	Roseburia	Roseburia	genus	0.21921353571774999	abund_weighted	0.0021921353571775	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0104148566594086	0.0021921353571775	8691000	0.8630845296332643	13821683	0.26805571885670837	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	909656	Phocaeicola	Phocaeicola	genus	6.5812318224922395	abund_weighted	0.0658123182249224	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0097761363050806	0.0658123182249224	8158000	0.8613242713585116	13821683	8.047572524956808	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1730	Eubacterium	Eubacterium	genus	0.18515111365236	abund_weighted	0.0018515111365236	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0080337359388649	0.0018515111365236	6704000	0.8558875228192196	13821683	0.22640397046971586	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	459786	Oscillibacter	Oscillibacter	genus	0.21077028029074998	abund_weighted	0.0021077028029075	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Oscillibacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0070534859391645	0.0021077028029075	5886000	0.8523023210130146	13821683	0.2577312519137119	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1905344	Ruthenibacterium	Ruthenibacterium	genus	1.94933569233211	abund_weighted	0.0194933569233211	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0066424520150848	0.0194933569233211	5543000	0.850653179987911	13821683	2.383660199586905	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	574697	Butyricimonas	Butyricimonas	genus	0.07032428684697	abund_weighted	0.0007032428684697	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0064159639344694	0.0007032428684697	5354000	0.8497017512754957	13821683	0.08599298944806687	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	561	Escherichia	Escherichia	genus	0.29429845844388	abund_weighted	0.0029429845844388	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0062062527487144	0.0029429845844388	5179000	0.8487913602149254	13821683	0.3598700444217491	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1649459	Hungatella	Hungatella	genus	0.09336779030455	abund_weighted	0.0009336779030455	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0059534009761756	0.0009336779030455	4968000	0.8476532473614787	13821683	0.11417073341845665	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1505663	Erysipelatoclostridium	Erysipelatoclostridium	genus	1.1975097388646498	abund_weighted	0.0119750973886465	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0053386476145053	0.0119750973886465	4455000	0.84467828761744	13821683	1.4643225968608888	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	283168	Odoribacter	Odoribacter	genus	0.20543084369682	abund_weighted	0.0020543084369682	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0049599691305134	0.0020543084369682	4139000	0.8426759747036302	13821683	0.2512021545667371	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1301	Streptococcus	Streptococcus	genus	0.05877721258691	abund_weighted	0.0005877721258691	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0049395971867544	0.0005877721258691	4122000	0.8425641038384525	13821683	0.0718731529090609	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	189330	Dorea	Dorea	genus	0.21299142803376	abund_weighted	0.0021299142803376	Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Dorea		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0046040592895464	0.0021299142803376	3842000	0.840654319113553	13821683	0.2604472856339385	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	244127	Anaerotruncus	Anaerotruncus	genus	0.51464789056441	abund_weighted	0.0051464789056441	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Anaerotruncus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0044854226758907	0.0051464789056441	3743000	0.8399466875880446	13821683	0.629314744692388	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	1924105	Neglectibacter	Neglectibacter	genus	0.23819096415393	abund_weighted	0.0023819096415393	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Neglectibacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0042409593507821	0.0023819096415393	3539000	0.8384295650616206	13821683	0.2912614401861695	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
	2048137	Agathobaculum	Agathobaculum	genus	0.09633414396785	abund_weighted	0.0009633414396785	Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Agathobaculum		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0040863722481398	0.0009633414396785	3410000	0.8374258923730359	13821683	0.11779800972233831	0.8177909303809056	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	default	sourmash_default
