taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
820	820	                      Bacteroides uniformis	Bacteroides uniformis	species	6.41	abund	6.41	1835602	1794096	9.261667389105622	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
818	818	                      Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.67	abund	2.67	765495	765373	3.8578240138708284	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
329854	329854	                      Bacteroides intestinalis	Bacteroides intestinalis	species	2.0	abund	2.0	572641	572641	2.8897558156335794	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
246787	246787	                      Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	species	1.79	abund	1.79	513344	513344	2.5863314549920533	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
817	817	                      Bacteroides fragilis	Bacteroides fragilis	species	1.54	abund	1.54	440601	435642	2.225111978037856	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
47678	47678	                      Bacteroides caccae	Bacteroides caccae	species	1.31	abund	1.31	374975	351167	1.8927900592399944	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
3117552	3117552	                        Bacteroides sp. MSB163	Bacteroides sp. MSB163	species	0.12	abund	0.12	35712	35712	0.17338534893801474	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
2785531	2785531	                        Bacteroides sp. HF-162	Bacteroides sp. HF-162	species	0.03	abund	0.03	7836	7836	0.043346337234503686	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
2528203	2528203	                        Bacteroides sp. A1C1	Bacteroides sp. A1C1	species	0.02	abund	0.02	7077	7077	0.028897558156335792	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
2755405	2755405	                        Bacteroides sp. CACC 737	Bacteroides sp. CACC 737	species	0.02	abund	0.02	7041	7041	0.028897558156335792	0.6920999999999999	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	unified	Kraken2_unified
