taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
9	9	Buchnera aphidicola	Buchnera aphidicola	species	7e-05	abund	7e-05	9	1||1224|1236|91347|1903409|32199|9	3	0	0	3	0.00011802432009139802	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	41	1||2818505|32015|29|39|40|41	2	0	0	2	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
48	48	Archangium gephyra	Archangium gephyra	species	1e-05	abund	1e-05	48	1||2818505|32015|29|39|47|48	5	0	0	5	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	52	1||2818505||3031712|49|50|52	3	0	0	3	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
56	56	Sorangium cellulosum	Sorangium cellulosum	species	3e-05	abund	3e-05	56	1||2818505||3031712|49|39643|56	30	0	0	30	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	69	1||1224|1236|135614|32033|68|69	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
78	78	Caulobacter sp.	Caulobacter sp.	species	0.0	abund	0.0	78	1||1224|28211|204458|76892|75|78	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	120	1||203682|203683|112|126|1649480|120	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	122	1||203682|203683|112|126|1649453|122	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	128	1||203682|203683|2691356|1763524|127|128	2	0	0	2	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
134	134	Methylocystis parvus	Methylocystis parvus	species	1e-05	abund	1e-05	134	1||1224|28211|356|31993|133|134	3	0	0	3	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
158	158	Treponema denticola	Treponema denticola	species	1e-05	abund	1e-05	158	1||203691|203692|136|2845253|157|158	2	0	0	2	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
162	162	Treponema phagedenis	Treponema phagedenis	species	0.0	abund	0.0	162	1||203691|203692|136|2845253|157|162	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
167	167	Treponema succinifaciens	Treponema succinifaciens	species	0.0001	abund	0.0001	167	1||203691|203692|136|2845253|157|167	19	0	0	19	0.00016860617155914004	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
193	193	Azospirillum lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	193	1||1224|28211|204441|2829815|191|193	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
195	195	Campylobacter coli	Campylobacter coli	species	0.00311	abund	0.00311	195	1||29547|3031852|213849|72294|194|195	490	0	0	490	0.005243651935489255	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
196	196	Campylobacter fetus	Campylobacter fetus	species	0.0001	abund	0.0001	196	1||29547|3031852|213849|72294|194|196	16	0	0	16	0.00016860617155914004	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
197	197	Campylobacter jejuni	Campylobacter jejuni	species	0.00012	abund	0.00012	197	1||29547|3031852|213849|72294|194|197	19	0	0	19	0.00020232740587096805	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
199	199	Campylobacter concisus	Campylobacter concisus	species	3e-05	abund	3e-05	199	1||29547|3031852|213849|72294|194|199	4	0	0	4	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
201	201	Campylobacter lari	Campylobacter lari	species	1e-05	abund	1e-05	201	1||29547|3031852|213849|72294|194|201	2	0	0	2	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
202	202	Campylobacter mucosalis	Campylobacter mucosalis	species	1e-05	abund	1e-05	202	1||29547|3031852|213849|72294|194|202	1	0	0	1	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
210	210	Helicobacter pylori	Helicobacter pylori	species	1e-05	abund	1e-05	210	1||29547|3031852|213849|72293|209|210	1	0	0	1	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
235	235	Brucella abortus	Brucella abortus	species	0.0	abund	0.0	235	1||1224|28211|356|118882|234|235	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
246	246	Chryseobacterium balustinum	Chryseobacterium balustinum	species	0.0	abund	0.0	246	1||976|117743|200644|2762318|59732|246	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	2e-05	abund	2e-05	253	1||976|117743|200644|2762318|59732|253	9	0	0	9	3.372123431182801e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
256	256	Myroides odoratus	Myroides odoratus	species	0.0	abund	0.0	256	1||976|117743|200644|49546|76831|256	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
259	259	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	species	0.0	abund	0.0	259	1||976|117747|200666|84566|28453|259	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
277	277	Meiothermus ruber	Meiothermus ruber	species	0.0	abund	0.0	277	1||1297|188787|68933|188786|65551|277	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
285	285	Comamonas testosteroni	Comamonas testosteroni	species	0.0	abund	0.0	285	1||1224|28216|80840|80864|283|285	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00975	abund	0.00975	287	1||1224|1236|72274|135621|286|287	5011	0	0	5011	0.016439101727016153	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
292	292	Burkholderia cepacia	Burkholderia cepacia	species	1e-05	abund	1e-05	292	1||1224|28216|80840|119060|32008|292	9	0	0	9	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
294	294	Pseudomonas fluorescens	Pseudomonas fluorescens	species	3e-05	abund	3e-05	294	1||1224|1236|72274|135621|286|294	15	0	0	15	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
296	296	Pseudomonas fragi	Pseudomonas fragi	species	0.00052	abund	0.00052	296	1||1224|1236|72274|135621|286|296	209	0	0	209	0.0008767520921075282	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
297	297	Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus	species	0.00013	abund	0.00013	297	1||1224|2008785|119069|206349|70774|297	22	0	0	22	0.00021918802302688204	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
303	303	Pseudomonas putida	Pseudomonas putida	species	3e-05	abund	3e-05	303	1||1224|1236|72274|135621|286|303	14	0	0	14	5.058185146774201e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
316	316	Stutzerimonas stutzeri	Stutzerimonas stutzeri	species	2e-05	abund	2e-05	316	1||1224|1236|72274|135621|2901164|316	9	0	0	9	3.372123431182801e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
317	317	Pseudomonas syringae	Pseudomonas syringae	species	1e-05	abund	1e-05	317	1||1224|1236|72274|135621|286|317	4	0	0	4	1.6860617155914004e-05	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
337	337	Burkholderia glumae	Burkholderia glumae	species	0.0	abund	0.0	337	1||1224|28216|80840|119060|32008|337	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
346	346	Xanthomonas citri	Xanthomonas citri	species	0.0	abund	0.0	346	1||1224|1236|135614|32033|338|346	1	0	0	1	0.0	0.5930981000000001	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
