taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.00018	abund	0.00018	9	1||1224|1236|91347|1903409|32199|9	8	0	0	8	0.00030190952744282135	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
33	33	Myxococcus fulvus	Myxococcus fulvus	species	0.0	abund	0.0	33	1||2818505|32015|29|31|32|33	3	0	0	3	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	41	1||2818505|32015|29|39|40|41	2	0	0	2	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	48	1||2818505|32015|29|39|47|48	3	0	0	3	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	52	1||2818505||3031712|49|50|52	3	0	0	3	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
56	56	Sorangium cellulosum	Sorangium cellulosum	species	3e-05	abund	3e-05	56	1||2818505||3031712|49|39643|56	34	0	0	34	5.031825457380355e-05	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	69	1||1224|1236|135614|32033|68|69	1	0	0	1	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	120	1||203682|203683|112|126|1649480|120	1	0	0	1	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	122	1||203682|203683|112|126|1649453|122	1	0	0	1	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
134	134	Methylocystis parvus	Methylocystis parvus	species	1e-05	abund	1e-05	134	1||1224|28211|356|31993|133|134	2	0	0	2	1.6772751524601185e-05	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
158	158	Treponema denticola	Treponema denticola	species	1e-05	abund	1e-05	158	1||203691|203692|136|2845253|157|158	2	0	0	2	1.6772751524601185e-05	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
162	162	Treponema phagedenis	Treponema phagedenis	species	0.0	abund	0.0	162	1||203691|203692|136|2845253|157|162	1	0	0	1	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
193	193	Azospirillum lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	193	1||1224|28211|204441|2829815|191|193	1	0	0	1	0.0	0.5962050999999999	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	unified	ganon2_unified
