taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0027	abund	0.0027	0.0051	0.002699983800097199	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
562	562	Escherichia coli	Escherichia coli	species	0.256	abund	0.256	0.3941	0.2559984640092159	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0094	abund	0.0094	0.0145	0.009399943600338396	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	1.2986	abund	1.2986	1.9639	1.298592208446749	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	1.8453	abund	1.8453	3.4744	1.84528892826643	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	9.3634	abund	9.3634	13.087	9.363343819937079	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.3909	abund	0.3909	0.6086	0.3908976546140723	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	1.0252	abund	1.0252	1.5621	1.0251938488369066	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
847	847	Oxalobacter formigenes	Oxalobacter formigenes	species	0.0941	abund	0.0941	0.068	0.09409943540338757	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
876	876	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	species	0.0056	abund	0.0056	0.0056	0.005599966400201597	1.0000060000000002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
