taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	77	40	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4489528	345	301	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1907773	86	65	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	0	204	186	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	3665893	321	180	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4379231	42	15	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
22	22	Shewanella	Shewanella	genus	0.0009372830613855	abund	9.372830613855e-06	5140018	3764	1832	0.0010120616849997365	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9487953	532	242	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	143	100	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	0	163	48	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910441	149	28	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12489432	78	40	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11388132	77	54	0.0	0.926112583133452	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
