taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	8303437	3	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	671716	894	364	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1035567	2	2	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
19	19	Syntrophotalea carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	8894228	11	10	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	9529437	2	2	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	4432179	15	3	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	3.22525e-62	abund	3.22525e-64	7510222	18	4	3.225251175866002e-62	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	1035569	1	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	11799204	7	2	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12315414	13	4	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	1035554	3	3	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	1035570	2	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
61	61	Vitreoscilla stercoraria	Vitreoscilla stercoraria	species	0.0	abund	0.0	32044121	3	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	8284603	7	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	17308306	85	31	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	1035569	30	30	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
106	106	Runella slithyformis	Runella slithyformis	species	0.0	abund	0.0	3821145	8	1	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	3106835	5	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	5177890	8	6	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	3898761	2	2	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
134	134	Methylocystis parvus	Methylocystis parvus	species	0.0	abund	0.0	47685817	34	23	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
139	139	Borreliella burgdorferi	Borreliella burgdorferi	species	0.0	abund	0.0	4320408	44	11	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
140	140	Borrelia hermsii	Borrelia hermsii	species	0.0	abund	0.0	6728898	84	11	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
141	141	Borrelia parkeri	Borrelia parkeri	species	0.0	abund	0.0	3973904	19	1	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
142	142	Borrelia turicatae	Borrelia turicatae	species	0.0	abund	0.0	2713451	184	112	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
143	143	Borrelia anserina	Borrelia anserina	species	0.0	abund	0.0	9374681	22	5	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
144	144	Borrelia coriaceae	Borrelia coriaceae	species	0.0	abund	0.0	10061818	56	18	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
154	154	Spirochaeta thermophila	Spirochaeta thermophila	species	0.0	abund	0.0	1035567	1	1	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
158	158	Treponema denticola	Treponema denticola	species	0.0	abund	0.0	2160782	169	118	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
159	159	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	species	2.2878100000000002e-73	abund	2.28781e-75	9465339	161	70	2.2878108340928605e-73	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
160	160	Treponema pallidum	Treponema pallidum	species	3.0763099999999996e-86	abund	3.0763099999999996e-88	16190847	751	125	3.0763111215652555e-86	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
162	162	Treponema phagedenis	Treponema phagedenis	species	1.45808e-99	abund	1.45808e-101	68863425	271	18	1.4580805315887763e-99	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
163	163	Treponema bryantii	Treponema bryantii	species	0.00182751	abund	1.82751e-05	9521342	11830	4954	0.0018275106662760646	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
165	165	Treponema saccharophilum	Treponema saccharophilum	species	0.0	abund	0.0	32965636	35	15	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
167	167	Treponema succinifaciens	Treponema succinifaciens	species	0.0	abund	0.0	7494576	5	4	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
172	172	Leptospira biflexa	Leptospira biflexa	species	0.0	abund	0.0	6830969	40	8	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
173	173	Leptospira interrogans	Leptospira interrogans	species	4.13682e-05	abund	4.13682e-07	12550552	784	253	4.136821508207424e-05	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
174	174	Leptospira borgpetersenii	Leptospira borgpetersenii	species	1.91523e-05	abund	1.91523e-07	16082397	255	95	1.9152306982571408e-05	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
180	180	Leptospirillum ferrooxidans	Leptospirillum ferrooxidans	species	0.0	abund	0.0	1035567	1	0	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
192	192	Azospirillum brasilense	Azospirillum brasilense	species	1.64959e-05	abund	1.64959e-07	107686873	131824	1169	1.6495906014097504e-05	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
193	193	Azospirillum lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	39434868	29	10	0.0	0.999999635418782	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	unified	Centrifuge_unified
