taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
816	816	                    Bacteroides	Bacteroides	genus	58.72	abund	58.72	5644121	641386	68.28701011745552	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
909656	909656	                    Phocaeicola	Phocaeicola	genus	4.61	abund	4.61	443417	25248	5.361088498662636	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
375288	375288	                    Parabacteroides	Parabacteroides	genus	12.54	abund	12.54	1205673	31493	14.583091057099663	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	62	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
577309	577309	                    Paraprevotella	Paraprevotella	genus	1.82	abund	1.82	174564	395	2.1165251773462033	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
838	838	                    Prevotella	Prevotella	genus	0.19	abund	0.19	18074	683	0.22095592510757067	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
2974251	2974251	                    Segatella	Segatella	genus	0.06	abund	0.06	6053	61	0.06977555529712758	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.0	abund	0.0	470	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	46	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	20	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
239759	239759	                    Alistipes	Alistipes	genus	0.77	abund	0.77	74121	2938	0.8954529596464705	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
1647173	1647173	                    Acetobacteroides	Acetobacteroides	genus	0.0	abund	0.0	3	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
574697	574697	                    Butyricimonas	Butyricimonas	genus	0.29	abund	0.29	27953	4	0.33724851726944993	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
283168	283168	                    Odoribacter	Odoribacter	genus	0.03	abund	0.03	2985	0	0.03488777764856379	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
397864	397864	                    Barnesiella	Barnesiella	genus	0.14	abund	0.14	13039	66	0.16280962902663104	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
1348911	1348911	                    Coprobacter	Coprobacter	genus	0.01	abund	0.01	1090	0	0.01162925921618793	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
156973	156973	                    Dysgonomonas	Dysgonomonas	genus	0.03	abund	0.03	2895	0	0.03488777764856379	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
294702	294702	                    Proteiniphilum	Proteiniphilum	genus	0.0	abund	0.0	73	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
307628	307628	                    Petrimonas	Petrimonas	genus	0.0	abund	0.0	16	0	0.0	0.8599	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Kraken2	unified	Kraken2_unified
