taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
22	22	Shewanella	Shewanella	genus	3e-05	abund	3e-05	22	1||1224|1236|135622|267890|22	0	0	3	3	4.447578175081584e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
105	105	Runella	Runella	genus	1e-05	abund	1e-05	105	1||976|768503|768507|2896860|105	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
107	107	Spirosoma	Spirosoma	genus	1e-05	abund	1e-05	107	1||976|768503|768507|89373|107	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
194	194	Campylobacter	Campylobacter	genus	0.00012	abund	0.00012	194	1||29547|3031852|213849|72294|194	0	0	5	5	0.00017790312700326336	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
209	209	Helicobacter	Helicobacter	genus	3e-05	abund	3e-05	209	1||29547|3031852|213849|72293|209	0	0	1	1	4.447578175081584e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
222	222	Achromobacter	Achromobacter	genus	1e-05	abund	1e-05	222	1||1224|28216|80840|506|222	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
226	226	Alteromonas	Alteromonas	genus	1e-05	abund	1e-05	226	1||1224|1236|135622|72275|226	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
237	237	Flavobacterium	Flavobacterium	genus	3e-05	abund	3e-05	237	1||976|117743|200644|49546|237	0	0	3	3	4.447578175081584e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
262	262	Francisella	Francisella	genus	2e-05	abund	2e-05	262	1||1224|1236|72273|34064|262	0	0	1	1	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
286	286	Pseudomonas	Pseudomonas	genus	0.00121	abund	0.00121	286	1||1224|1236|72274|135621|286	0	0	174	174	0.0017938565306162388	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
338	338	Xanthomonas	Xanthomonas	genus	2e-05	abund	2e-05	338	1||1224|1236|135614|32033|338	0	0	2	2	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
357	357	Agrobacterium	Agrobacterium	genus	2e-05	abund	2e-05	357	1||1224|28211|356|82115|357	0	0	2	2	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	374	1||1224|28211|356|41294|374	0	0	1	1	0.0	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
379	379	Rhizobium	Rhizobium	genus	1e-05	abund	1e-05	379	1||1224|28211|356|82115|379	0	0	2	2	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
445	445	Legionella	Legionella	genus	2e-05	abund	2e-05	445	1||1224|1236|118969|444|445	0	0	2	2	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
469	469	Acinetobacter	Acinetobacter	genus	1e-05	abund	1e-05	469	1||1224|1236|2887326|468|469	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
482	482	Neisseria	Neisseria	genus	2e-05	abund	2e-05	482	1||1224|28216|206351|481|482	0	0	1	1	2.965052116721056e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
507	507	Alcaligenes	Alcaligenes	genus	1e-05	abund	1e-05	507	1||1224|28216|80840|506|507	0	0	1	1	1.482526058360528e-05	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
544	544	Citrobacter	Citrobacter	genus	0.09337	abund	0.09337	544	1||1224|1236|91347|543|544	0	0	10944	10944	0.13842345806912248	0.6745243999999999	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
