taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
200	200	Campylobacter curvus	Campylobacter curvus	species	7e-05	abund	7e-05	200	1||29547|3031852|213849|72294|194|200	3	0	0	3	0.00010261183774136686	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
210	210	Helicobacter pylori	Helicobacter pylori	species	3e-05	abund	3e-05	210	1||29547|3031852|213849|72293|209|210	1	0	0	1	4.397650188915723e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	3e-05	abund	3e-05	253	1||976|117743|200644|2762318|59732|253	3	0	0	3	4.397650188915723e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00118	abund	0.00118	287	1||1224|1236|72274|135621|286|287	162	0	0	162	0.0017297424076401845	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
296	296	Pseudomonas fragi	Pseudomonas fragi	species	1e-05	abund	1e-05	296	1||1224|1236|72274|135621|286|296	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
305	305	Ralstonia solanacearum	Ralstonia solanacearum	species	1e-05	abund	1e-05	305	1||1224|28216|80840|119060|48736|305	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
495	495	Neisseria elongata	Neisseria elongata	species	2e-05	abund	2e-05	495	1||1224|28216|206351|481|482|495	1	0	0	1	2.931766792610482e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
546	546	Citrobacter freundii	Citrobacter freundii	species	0.0965	abund	0.0965	546	1||1224|1236|91347|543|544|546	10743	0	0	10743	0.14145774774345576	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
550	550	Enterobacter cloacae	Enterobacter cloacae	species	1e-05	abund	1e-05	550	1||1224|1236|91347|543|547|550	1	0	0	1	1.465883396305241e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
562	562	Escherichia coli	Escherichia coli	species	0.73599	abund	0.73599	562	1||1224|1236|91347|543|561|562	80377	0	0	80377	1.0788755208466942	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
564	564	Escherichia fergusonii	Escherichia fergusonii	species	5e-05	abund	5e-05	564	1||1224|1236|91347|543|561|564	5	0	0	5	7.329416981526205e-05	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
571	571	Klebsiella oxytoca	Klebsiella oxytoca	species	0.0001	abund	0.0001	571	1||1224|1236|91347|543|570|571	12	0	0	12	0.0001465883396305241	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.01249	abund	0.01249	573	1||1224|1236|91347|543|570|573	1483	0	0	1483	0.01830888361985246	0.6821825	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	unified	ganon2_unified
