taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	816	Bacteroides	Bacteroides	genus	47.29921585772386	abund_weighted	0.4729921585772386	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0184187745725887	0.4729921585772386	47916000	0.879104835304434	17365216	66.27684878116727	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	375288	Parabacteroides	Parabacteroides	genus	10.30788790649076	abund_weighted	0.1030788790649076	;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.003828211369238	0.1030788790649076	9959000	0.8356648326218565	17365216	14.443671330338772	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	561	Escherichia	Escherichia	genus	0.7817121307330701	abund_weighted	0.0078171213073307	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0026634879583744	0.0078171213073307	6929000	0.8259428991735809	17365216	1.0953546636976519	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	1485	Clostridium	Clostridium	genus	0.77908043297589	abund_weighted	0.0077908043297589	;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.002457835474938	0.0077908043297589	6394000	0.823804735582245	17365216	1.0916670627273732	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	909656	Phocaeicola	Phocaeicola	genus	7.61165884720351	abund_weighted	0.0761165884720351	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0024532227089544	0.0761165884720351	6382000	0.8237548165797961	17365216	10.665647479387571	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	544	Citrobacter	Citrobacter	genus	0.15398023266740998	abund_weighted	0.0015398023266741	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0022394978850467	0.0015398023266741	5826000	0.8213362460566962	17365216	0.2157609679298812	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	570	Klebsiella	Klebsiella	genus	0.07959590021799	abund_weighted	0.0007959590021799	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0021645404378129	0.0007959590021799	5631000	0.820434765248321	17365216	0.11153177376591006	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	2759736	Lacticaseibacillus	Lacticaseibacillus	genus	0.8681320174767699	abund_weighted	0.0086813201747677	;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0015537333421488	0.0086813201747677	4042000	0.8117069069524123	17365216	1.2164483787103182	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	1350	Enterococcus	Enterococcus	genus	0.43965476732335995	abund_weighted	0.0043965476732336	;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0014856950438904	0.0043965476732336	3865000	0.8105352836316914	17365216	0.6160552981990142	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	946234	Flavonifractor	Flavonifractor	genus	0.10564798042247	abund_weighted	0.0010564798042247	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0013004156102151	0.0010564798042247	3383000	0.8070600994401851	17365216	0.14803660262694085	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	239759	Alistipes	Alistipes	genus	0.50886208383471	abund_weighted	0.0050886208383471	;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0012981092272233	0.0050886208383471	3377000	0.8070138862007582	17365216	0.7130303276534213	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	3025755	Thomasclavelia	Thomasclavelia	genus	0.09899675304931	abund_weighted	0.0009899675304931	;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0012873461065948	0.0009899675304931	3349000	0.8067971683591153	17365216	0.13871673584212815	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	40544	Sutterella	Sutterella	genus	0.5342576792595	abund_weighted	0.005342576792595	;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.0010340283746611	0.005342576792595	2690000	0.8011145053897198	17365216	0.7486152735590659	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
	577309	Paraprevotella	Paraprevotella	genus	1.13005216865715	abund_weighted	0.0113005216865715	;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella		a86c9073	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Qiagen.fastq	0.000966374473568	0.0113005216865715	2514000	0.7993677582380277	17365216	1.5834574704622653	0.7136612064024993	DYN_0004_D10_Qiagen-report.csv.summarized	DYN_0004_D10	ont_qiagen	sourmash	unified	sourmash_unified
