taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28	AF33-28	genus	0.0014	abund	0.0014	0.061	0.06871840180631228	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	CAG-313	CAG-313	genus	0.0007	abund	0.0007	0.0096	0.03435920090315614	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	DXTB01	DXTB01	genus	0.0011	abund	0.0011	0.0135	0.053993029990673944	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
286	286	Pseudomonas	Pseudomonas	genus	0.0002	abund	0.0002	0.0088	0.009816914543758899	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
544	544	Citrobacter	Citrobacter	genus	0.0042	abund	0.0042	0.1742	0.20615520541893687	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
547	547	Enterobacter	Enterobacter	genus	0.0004	abund	0.0004	0.0162	0.019633829087517797	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
561	561	Escherichia	Escherichia	genus	0.0145	abund	0.0145	0.6124	0.7117263044225202	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
570	570	Klebsiella	Klebsiella	genus	0.0018	abund	0.0018	0.0836	0.08835223089383008	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
581	581	Morganella	Morganella	genus	0.0001	abund	0.0001	0.0024	0.004908457271879449	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
590	590	Salmonella	Salmonella	genus	0.0002	abund	0.0002	0.0087	0.009816914543758899	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
816	816	Bacteroides	Bacteroides	genus	1.5162999999999998	abund	1.5162999999999998	58.5878	74.42693761350807	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
838	838	Prevotella	Prevotella	genus	0.0001	abund	0.0001	0.0034999999999999	0.004908457271879449	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
848	848	Fusobacterium	Fusobacterium	genus	0.0002	abund	0.0002	0.0056	0.009816914543758899	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
904	904	Acidaminococcus	Acidaminococcus	genus	0.0111	abund	0.0111	0.2115	0.5448387571786188	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1243	1243	Leuconostoc	Leuconostoc	genus	0.0	abund	0.0	0.0007999999999999	0.0	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1263	1263	Ruminococcus_B	Ruminococcus	genus	0.0004	abund	0.0004	0.0116	0.019633829087517797	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1279	1279	Staphylococcus	Staphylococcus	genus	0.0016	abund	0.0016	0.0318	0.07853531635007119	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1301	1301	Streptococcus	Streptococcus	genus	0.0007	abund	0.0007	0.0127	0.03435920090315614	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1350	1350	Enterococcus_D	Enterococcus	genus	0.016900000000000002	abund	0.016900000000000002	0.532	0.829529278947627	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1386	1386	Bacillus	Bacillus	genus	0.0002	abund	0.0002	0.0057	0.009816914543758899	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1485	1485	Clostridium_AQ	Clostridium	genus	0.0194	abund	0.0194	0.7685	0.9522407107446131	0.020372999999999995	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
