taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
286	286	Pseudomonas	Pseudomonas	genus	0.0072	abund	0.0072	0.0124	0.007200021600064801	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.1838999999999999	abund	0.1838999999999999	0.2246999999999999	0.18390055170165504	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.017	abund	0.017	0.0204	0.017000051000153005	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.8283	abund	0.8283	1.0245	0.8283024849074548	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0739	abund	0.0739	0.0969	0.07390022170066511	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
581	581	Morganella	Morganella	genus	0.0031	abund	0.0031	0.0031	0.0031000093000279005	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
590	590	Salmonella	Salmonella	genus	0.0096	abund	0.0096	0.0115	0.009600028800086402	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	51.7642	abund	51.7642	75.05239999999999	51.76435529306588	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0038	abund	0.0038	0.0029	0.0038000114000342005	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
848	848	Fusobacterium	Fusobacterium	genus	0.0104	abund	0.0104	0.0065	0.010400031200093602	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
904	904	Acidaminococcus	Acidaminococcus	genus	0.4908	abund	0.4908	0.2874	0.49080147240441724	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1243	1243	Leuconostoc	Leuconostoc	genus	0.0007	abund	0.0007	0.0004	0.0007000021000063	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1279	1279	Staphylococcus	Staphylococcus	genus	0.0691	abund	0.0691	0.0443	0.0691002073006219	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.0316	abund	0.0316	0.015	0.0316000948002844	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1350	1350	Enterococcus	Enterococcus	genus	0.7473000000000001	abund	0.7473000000000001	0.5978999999999999	0.7473022419067258	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1357	1357	Lactococcus	Lactococcus	genus	0.0009	abund	0.0009	0.0006	0.0009000027000081001	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1386	1386	Bacillus	Bacillus	genus	0.0075	abund	0.0075	0.0077	0.007500022500067501	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	1.1482	abund	1.1482	1.3444	1.148203444610334	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1637	1637	Listeria	Listeria	genus	0.0021	abund	0.0021	0.0016	0.0021000063000189	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.043	abund	0.043	0.026	0.043000129000387	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0199	abund	0.0199	0.0109	0.019900059700179103	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
40544	40544	Sutterella	Sutterella	genus	1.0123	abund	1.0123	0.7424	1.0123030369091108	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
46123	46123	Abiotrophia	Abiotrophia	genus	0.0047	abund	0.0047	0.0024	0.004700014100042301	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
61170	61170	Holdemania	Holdemania	genus	0.021	abund	0.021	0.0215	0.021000063000189004	0.9999969999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
