taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	64	33	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	602805	1012	654	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3526441	5	3	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	76	61	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
19	19	Pelobacter carbinolicus	Pelobacter carbinolicus	species	0.0	abund	0.0	3665893	204	122	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	4749735	199	23	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	9139763	215	83	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8973512	65	12	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	137	93	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12349744	184	38	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	115	81	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	57	37	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	13907952	371	197	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
63	63	Vitreoscilla filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3787551	52	27	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	12227539	148	76	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	2469862	61	43	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
94	94	Stella humosa	Stella humosa	species	0.0	abund	0.0	5832650	38	23	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	6221273	853	652	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	17998094	100	60	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
119	119	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	species	0.0	abund	0.0	6006602	141	20	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	5460085	24	7	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	15634937	340	143	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
125	125	Pirellula staleyi	Pirellula staleyi	species	0.0	abund	0.0	6196199	104	41	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	5529304	26	20	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
134	134	Methylocystis parvus	Methylocystis parvus	species	0.0	abund	0.0	4529043	43	21	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
139	139	Borreliella burgdorferi	Borreliella burgdorferi	species	0.0	abund	0.0	1329613	45	13	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
140	140	Borrelia hermsii	Borrelia hermsii	species	0.0	abund	0.0	1156143	32	3	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
141	141	Borrelia parkeri	Borrelia parkeri	species	0.0	abund	0.0	1030684	26	7	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
142	142	Borrelia turicatae	Borrelia turicatae	species	0.0	abund	0.0	1165365	40	5	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
143	143	Borrelia anserina	Borrelia anserina	species	0.0	abund	0.0	1042690	26	17	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
154	154	Spirochaeta thermophila	Spirochaeta thermophila	species	0.0	abund	0.0	2516433	114	23	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
158	158	Treponema denticola	Treponema denticola	species	0.0	abund	0.0	2843201	108	62	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
159	159	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	species	0.0	abund	0.0	3055339	796	126	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
160	160	Treponema pallidum	Treponema pallidum	species	0.0	abund	0.0	1139017	1228	0	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
162	162	Treponema phagedenis	Treponema phagedenis	species	0.0	abund	0.0	17151030	455	11	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
167	167	Treponema succinifaciens	Treponema succinifaciens	species	8.04247e-32	abund	8.04247e-34	2897425	163	118	8.924837924385206e-32	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
172	172	Leptospira biflexa	Leptospira biflexa	species	0.0	abund	0.0	3953768	155	0	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
173	173	Leptospira interrogans	Leptospira interrogans	species	0.0	abund	0.0	6128534	306	111	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
174	174	Leptospira borgpetersenii	Leptospira borgpetersenii	species	0.0	abund	0.0	4736323	315	100	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
180	180	Leptospirillum ferrooxidans	Leptospirillum ferrooxidans	species	0.0	abund	0.0	2559538	43	36	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
192	192	Azospirillum brasilense	Azospirillum brasilense	species	0.0	abund	0.0	50779208	599	70	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
193	193	Azospirillum lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	7223069	376	180	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
195	195	Campylobacter coli	Campylobacter coli	species	0.0	abund	0.0	1776238	294	65	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
196	196	Campylobacter fetus	Campylobacter fetus	species	0.0	abund	0.0	2065164	136	39	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
197	197	Campylobacter jejuni	Campylobacter jejuni	species	0.0	abund	0.0	3124996	946	232	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
198	198	Campylobacter hyointestinalis	Campylobacter hyointestinalis	species	0.0	abund	0.0	1755214	102	16	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
199	199	Campylobacter concisus	Campylobacter concisus	species	0.0	abund	0.0	2099413	147	97	0.0	0.9011334511773795	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	default	Centrifuge_default
