taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	8303437	12	2	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5456382	56	13	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1035567	7	5	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	1035566	8	4	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	5684294	6	3	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3434371	14	2	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
22	22	Shewanella	Shewanella	genus	0.000482909	abund	4.82909e-06	2480118	1928	623	0.0004829261393362139	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	1035556	25	6	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	11799204	8	4	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	0	57	33	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	1035554	1	0	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	1035553	2	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	32044121	16	5	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
68	68	Lysobacter	Lysobacter	genus	3.99708e-05	abund	3.99708e-07	0	2201	1234	3.9972218637838475e-05	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	17308306	139	36	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	2388828	85	31	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	1035563	64	14	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	11928145	35	14	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
93	93	Stella	Stella	genus	0.0	abund	0.0	1035557	1	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
99	99	Ancylobacter	Ancylobacter	genus	3.30771e-05	abund	3.30771e-07	1035570	671	352	3.3078273967637555e-05	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	3821145	51	6	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
107	107	Spirosoma	Spirosoma	genus	0.006387599999999999	abund	6.3876e-05	0	11739	4043	0.006387826707773099	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	3106835	14	4	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	8771787	3	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	1035567	3	0	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	3898761	3	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	47685817	108	22	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
138	138	Borrelia	Borrelia	genus	0.000407298	abund	4.07298e-06	5575759	626	252	0.00040731245576156435	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	1035567	6	5	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
157	157	Treponema	Treponema	genus	0.000211759	abund	2.11759e-06	9463158	9060	4652	0.00021176651571972634	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
171	171	Leptospira	Leptospira	genus	0.027437182500000004	abund	0.00027437182500000004	12188794	6520	1534	0.027438156296503344	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	1035567	10	2	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	1035567	1	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
191	191	Azospirillum	Azospirillum	genus	5.3837e-05	abund	5.3837e-07	39434868	180837	1269	5.38389107749985e-05	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
194	194	Campylobacter	Campylobacter	genus	0.005784054	abund	5.784054e-05	6638245	58765	15541	0.005784259286805974	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
209	209	Helicobacter	Helicobacter	genus	0.65309602	abund	0.0065309602	3274938	128207	5263	0.6531191995892534	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
222	222	Achromobacter	Achromobacter	genus	1.16506e-154	abund	1.16506e-156	3559180	758	114	1.165101350140605e-154	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
226	226	Alteromonas	Alteromonas	genus	1.40366e-25	abund	1.4036599999999999e-27	6501773	1031	801	1.4037098184972119e-25	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
234	234	Brucella	Brucella	genus	0.290729856	abund	0.00290729856	7061239	80106	50678	0.290740174541898	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
237	237	Flavobacterium	Flavobacterium	genus	0.00279678	abund	2.79678e-05	3664044	2364	356	0.0027968792629102716	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
262	262	Francisella	Francisella	genus	2.9022200000000003e-118	abund	2.9022200000000004e-120	4628354	329	79	2.902323005171465e-118	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	23818239	863	264	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
270	270	Thermus	Thermus	genus	0.025700030000000002	abund	0.0002570003	3672245	19741	14007	0.02570094214173867	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	0	73	19	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
283	283	Comamonas	Comamonas	genus	5.11405e-05	abund	5.11405e-07	1553374	9219	6945	5.114231507121145e-05	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
286	286	Pseudomonas	Pseudomonas	genus	0.022346333000015102	abund	0.000223463330000151	6009714	259690	25720	0.02234712611282608	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
338	338	Xanthomonas	Xanthomonas	genus	0.006825279	abund	6.825279e-05	24303767	38401	5602	0.0068255212418127115	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	5041647	50	3	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
357	357	Agrobacterium	Agrobacterium	genus	0.001625352	abund	1.625352e-05	16283238	25580	9998	0.0016254096867575338	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	8563390	720	139	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
379	379	Rhizobium	Rhizobium	genus	1.49119e-57	abund	1.49119e-59	5722865	3351	973	1.4912429250992815e-57	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	4142461	4	3	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
407	407	Methylobacterium	Methylobacterium	genus	8.86713e-100	abund	8.86713e-102	4098002	353	51	8.867444710892368e-100	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	2071196	18	6	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
416	416	Methylomonas	Methylomonas	genus	0.0	abund	0.0	1035572	47	16	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	5897155	32	3	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
429	429	Methylobacter	Methylobacter	genus	0.0	abund	0.0	7871344	2	1	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
434	434	Acetobacter	Acetobacter	genus	3.1113200000000004e-83	abund	3.11132e-85	6986888	8197	4597	3.111430426518349e-83	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
441	441	Gluconobacter	Gluconobacter	genus	0.0020949	abund	2.0949e-05	11883942	29138	10411	0.0020949743518870727	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
445	445	Legionella	Legionella	genus	0.025579914000000002	abund	0.00025579914	9575041	6883	5536	0.025580821878599013	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
461	461	Fluoribacter	Fluoribacter	genus	0.0	abund	0.0	11290902	11	4	0.0	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
469	469	Acinetobacter	Acinetobacter	genus	0.238189268600019	abund	0.00238189268600019	6017296	333804	97381	0.23819772237900652	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
475	475	Moraxella	Moraxella	genus	1.0672e-15	abund	1.0672e-17	1035572	1655	420	1.0672378769076733e-15	0.999964509404611	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
