taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5316790	7	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4930574	23	23	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1852404	98	98	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	3068083	7	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4221348	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3870625	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5218353	612	527	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9476630	21	9	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10161510	6	6	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12216880	9	9	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9810721	6	6	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12723492	16	15	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11193550	4	4	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	12635383	10	10	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	11865959	4	4	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3177410	9	9	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4017038	134	72	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2425434	10	6	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4639345	92	79	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4108973	18	18	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3617055	7	7	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4836192	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
93	93	Stella	Stella	genus	0.0	abund	0.0	5739417	4	4	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3151503	1	1	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4571159	490	489	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
105	105	Runella	Runella	genus	9.999999999999999e-06	abund	1e-07	7085302	154	152	genus	1.0000007000004901e-05	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
107	107	Spirosoma	Spirosoma	genus	3.9999999999999996e-05	abund	4e-07	7200667	715	667	genus	4.0000028000019604e-05	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9320154	25	23	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7520540	11	11	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6348991	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5441947	2	2	genus	0.0	0.9999992999999999	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
