taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium_caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5316790	7	7	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
9	9	Buchnera_aphidicola	Buchnera aphidicola	species	0.00186	abund	1.86e-05	487923	302	171	species	0.0018600048360125736	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
11	11	Cellulomonas_gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3389728	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
14	14	Dictyoglomus_thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1903176	90	90	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
19	19	Syntrophotalea_carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	3648065	3	3	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
24	24	Shewanella_putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	9412355	16	14	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
34	34	Myxococcus_xanthus	Myxococcus xanthus	species	0.0	abund	0.0	24468179	12	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
35	35	Corallococcus_macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8809604	3	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
41	41	Stigmatella_aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10161510	6	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
43	43	Cystobacter_fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12216880	9	9	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
48	48	Archangium_gephyra	Archangium gephyra	species	0.0	abund	0.0	12349166	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
52	52	Chondromyces_crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11193550	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
56	56	Sorangium_cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	17333149	18	17	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
63	63	Vitreoscilla_filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3767175	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
69	69	Lysobacter_enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	11220614	20	14	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
72	72	Simonsiella_muelleri	Simonsiella muelleri	species	0.0	abund	0.0	2431675	10	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
94	94	Stella_humosa	Stella humosa	species	0.0	abund	0.0	5739417	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
104	104	Cyclobacterium_marinum	Cyclobacterium marinum	species	0.0	abund	0.0	6121867	13	13	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
106	106	Runella_slithyformis	Runella slithyformis	species	9.999999999999999e-06	abund	1e-07	6638891	88	88	species	1.00000260000676e-05	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
114	114	Gemmata_obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	8869928	9	9	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
122	122	Gimesia_maris	Gimesia maris	species	0.0	abund	0.0	7791598	20	15	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
128	128	Isosphaera_pallida	Isosphaera pallida	species	0.0	abund	0.0	5441947	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
134	134	Methylocystis_parvus	Methylocystis parvus	species	0.0	abund	0.0	4453638	17	17	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
140	140	Borrelia_hermsii	Borrelia hermsii	species	0.0	abund	0.0	1168923	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
141	141	Borrelia_parkeri	Borrelia parkeri	species	0.0	abund	0.0	1165943	1	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
143	143	Borrelia_anserina	Borrelia anserina	species	0.0	abund	0.0	912063	1	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
144	144	Borrelia_coriaceae	Borrelia coriaceae	species	0.0	abund	0.0	1649589	11	10	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
154	154	Spirochaeta_thermophila	Spirochaeta thermophila	species	0.0	abund	0.0	2454422	2	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
158	158	Treponema_denticola	Treponema denticola	species	0.0	abund	0.0	5434457	20	14	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
159	159	Brachyspira_hyodysenteriae	Brachyspira hyodysenteriae	species	0.0	abund	0.0	5275684	172	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
162	162	Treponema_phagedenis	Treponema phagedenis	species	0.0	abund	0.0	13243312	15	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
167	167	Treponema_succinifaciens	Treponema succinifaciens	species	0.0	abund	0.0	2792878	14	14	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
172	172	Leptospira_biflexa	Leptospira biflexa	species	0.0	abund	0.0	3514958	29	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
173	173	Leptospira_interrogans	Leptospira interrogans	species	0.0	abund	0.0	7213989	27	5	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
174	174	Leptospira_borgpetersenii	Leptospira borgpetersenii	species	0.0	abund	0.0	12816476	3	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
180	180	Leptospirillum_ferrooxidans	Leptospirillum ferrooxidans	species	0.0	abund	0.0	2540165	5	5	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
192	192	Azospirillum_brasilense	Azospirillum brasilense	species	0.0	abund	0.0	14352782	11	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
193	193	Azospirillum_lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	4066570	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
195	195	Campylobacter_coli	Campylobacter coli	species	0.0	abund	0.0	2998663	16	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
196	196	Campylobacter_fetus	Campylobacter fetus	species	0.0	abund	0.0	2979227	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
197	197	Campylobacter_jejuni	Campylobacter jejuni	species	0.0	abund	0.0	3360036	32	27	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
198	198	Campylobacter_hyointestinalis	Campylobacter hyointestinalis	species	0.0	abund	0.0	1668200	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
199	199	Campylobacter_concisus	Campylobacter concisus	species	0.0	abund	0.0	5573110	51	26	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
200	200	Campylobacter_curvus	Campylobacter curvus	species	0.0	abund	0.0	1938585	6	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
201	201	Campylobacter_lari	Campylobacter lari	species	0.0	abund	0.0	1426313	13	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
202	202	Campylobacter_mucosalis	Campylobacter mucosalis	species	0.0	abund	0.0	1741395	4	3	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
203	203	Campylobacter_rectus	Campylobacter rectus	species	0.0	abund	0.0	2498985	1	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
204	204	Campylobacter_showae	Campylobacter showae	species	0.0	abund	0.0	2111364	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
206	206	Campylobacter_sputorum	Campylobacter sputorum	species	0.0	abund	0.0	1564776	10	6	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
210	210	Helicobacter_pylori	Helicobacter pylori	species	0.0	abund	0.0	2727064	74	36	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
213	213	Helicobacter_cinaedi	Helicobacter cinaedi	species	0.0	abund	0.0	2853066	7	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
214	214	Helicobacter_felis	Helicobacter felis	species	0.0	abund	0.0	1654137	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
217	217	Helicobacter_mustelae	Helicobacter mustelae	species	0.0	abund	0.0	1524063	2	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
227	227	Pseudoalteromonas_carrageenovora	Pseudoalteromonas carrageenovora	species	0.0	abund	0.0	4548410	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
238	238	Elizabethkingia_meningoseptica	Elizabethkingia meningoseptica	species	0.0	abund	0.0	3989186	16	5	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
246	246	Chryseobacterium_balustinum	Chryseobacterium balustinum	species	0.0	abund	0.0	4787482	31	31	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
247	247	Empedobacter_brevis	Empedobacter brevis	species	0.0	abund	0.0	3672495	31	15	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
250	250	Chryseobacterium_gleum	Chryseobacterium gleum	species	0.0	abund	0.0	5473996	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
253	253	Chryseobacterium_indologenes	Chryseobacterium indologenes	species	0.0	abund	0.0	5176564	131	101	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
254	254	Chryseobacterium_indoltheticum	Chryseobacterium indoltheticum	species	0.0	abund	0.0	8144275	74	58	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
256	256	Myroides_odoratus	Myroides odoratus	species	0.0	abund	0.0	8196461	13	11	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
258	258	Sphingobacterium_spiritivorum	Sphingobacterium spiritivorum	species	0.0	abund	0.0	15381790	171	170	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
259	259	Sphingobacterium_thalpophilum	Sphingobacterium thalpophilum	species	0.0	abund	0.0	5906941	40	40	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
263	263	Francisella_tularensis	Francisella tularensis	species	0.0	abund	0.0	2164021	4	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
266	266	Paracoccus_denitrificans	Paracoccus denitrificans	species	0.0	abund	0.0	5178165	3	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
274	274	Thermus_thermophilus	Thermus thermophilus	species	0.0	abund	0.0	3873789	4	0	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
277	277	Meiothermus_ruber	Meiothermus ruber	species	0.0	abund	0.0	3073437	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
285	285	Comamonas_testosteroni	Comamonas testosteroni	species	0.0	abund	0.0	6002654	35	33	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
287	287	Pseudomonas_aeruginosa	Pseudomonas aeruginosa	species	0.0006000000000000001	abund	6e-06	11221436	167	108	species	0.000600001560004056	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
288	288	Pseudoalteromonas_atlantica	Pseudoalteromonas atlantica	species	0.0	abund	0.0	3636556	1	1	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
290	290	[Pseudomonas]_carboxydohydrogena	[Pseudomonas]_carboxydohydrogena	species	0.0	abund	0.0	3251556	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
292	292	Burkholderia_cepacia	Burkholderia cepacia	species	0.0	abund	0.0	7832977	22	13	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
293	293	Brevundimonas_diminuta	Brevundimonas diminuta	species	0.0	abund	0.0	3498094	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
294	294	Pseudomonas_fluorescens	Pseudomonas fluorescens	species	0.0	abund	0.0	8213379	68	63	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
296	296	Pseudomonas_fragi	Pseudomonas fragi	species	0.0	abund	0.0	5332393	35	29	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
297	297	Hydrogenophilus_thermoluteolus	Hydrogenophilus thermoluteolus	species	0.0	abund	0.0	2278861	4	4	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
300	300	Pseudomonas_mendocina	Pseudomonas mendocina	species	0.0	abund	0.0	5520986	11	11	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
301	301	Pseudomonas_oleovorans	Pseudomonas oleovorans	species	0.0	abund	0.0	4674525	2	2	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
303	303	Pseudomonas_putida	Pseudomonas putida	species	0.0	abund	0.0	7014267	63	50	species	0.0	0.9999974	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	default	Centrifuger_default
