taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium_caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	5	5	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
9	9	Buchnera_aphidicola	Buchnera aphidicola	species	0.001	abund	1e-05	596134	956	339	species	0.00099999950000025	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
14	14	Dictyoglomus_thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	4	4	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
17	17	Methylophilus_methylotrophus	Methylophilus methylotrophus	species	0.0	abund	0.0	3004396	4	4	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
19	19	Syntrophotalea_carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	3665893	1	1	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
24	24	Shewanella_putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	8961727	3	3	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
33	33	Myxococcus_fulvus	Myxococcus fulvus	species	0.0	abund	0.0	10772519	2	2	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
34	34	Myxococcus_xanthus	Myxococcus xanthus	species	0.0	abund	0.0	24701779	3	0	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
35	35	Corallococcus_macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8988552	3	0	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
41	41	Stigmatella_aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	9	9	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
43	43	Cystobacter_fuscus	Cystobacter fuscus	species	0.0	abund	0.0	24084199	8	3	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
48	48	Archangium_gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	6	6	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
52	52	Chondromyces_crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	5	5	species	0.0	1.0000005	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
