taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
816	816	                    Bacteroides	Bacteroides	genus	57.35	abund	57.35	5175397	447873	61.91967177715396	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
909656	909656	                    Phocaeicola	Phocaeicola	genus	3.12	abund	3.12	281635	11447	3.368602893543511	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
375288	375288	                    Parabacteroides	Parabacteroides	genus	15.6	abund	15.6	1408041	17589	16.843014467717556	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	90	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
577309	577309	                    Paraprevotella	Paraprevotella	genus	4.13	abund	4.13	372339	533	4.459080112286763	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
838	838	                    Prevotella	Prevotella	genus	0.27	abund	0.27	24399	769	0.29151371194126535	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2974251	2974251	                    Segatella	Segatella	genus	0.09	abund	0.09	8414	118	0.09717123731375513	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.01	abund	0.01	542	0	0.010796804145972791	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	61	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	14	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
239759	239759	                    Alistipes	Alistipes	genus	0.86	abund	0.86	77283	2688	0.9285251565536601	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
1647173	1647173	                    Acetobacteroides	Acetobacteroides	genus	0.0	abund	0.0	1	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
574697	574697	                    Butyricimonas	Butyricimonas	genus	0.11	abund	0.11	9632	19	0.1187648456057007	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
283168	283168	                    Odoribacter	Odoribacter	genus	0.03	abund	0.03	2832	0	0.032390412437918376	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
397864	397864	                    Barnesiella	Barnesiella	genus	0.11	abund	0.11	10208	29	0.1187648456057007	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
1348911	1348911	                    Coprobacter	Coprobacter	genus	0.01	abund	0.01	1349	0	0.010796804145972791	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2518495	2518495	                    Duncaniella	Duncaniella	genus	0.01	abund	0.01	768	6	0.010796804145972791	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
1918540	1918540	                    Muribaculum	Muribaculum	genus	0.01	abund	0.01	519	9	0.010796804145972791	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2518497	2518497	                    Paramuribaculum	Paramuribaculum	genus	0.0	abund	0.0	225	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
2815786	2815786	                    Sodaliphilus	Sodaliphilus	genus	0.0	abund	0.0	191	0	0.0	0.9262	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Kraken2	default	Kraken2_default
