taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
22	22	Shewanella	Shewanella	genus	3e-05	abund	3e-05	22	1||1224|1236|135622|267890|22	0	0	3	3	5.2257452261075444e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	47	1||2818505|32015|29|39|47	0	0	1	1	0.0	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
68	68	Lysobacter	Lysobacter	genus	1e-05	abund	1e-05	68	1||1224|1236|135614|32033|68	0	0	1	1	1.7419150753691815e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	1e-05	abund	1e-05	81	1||1224|28211|356|45401|81	0	0	1	1	1.7419150753691815e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
157	157	Treponema	Treponema	genus	3e-05	abund	3e-05	157	1||203691|203692|136|2845253|157	0	0	1	1	5.2257452261075444e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
194	194	Campylobacter	Campylobacter	genus	5e-05	abund	5e-05	194	1||29547|3031852|213849|72294|194	0	0	2	2	8.709575376845907e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
222	222	Achromobacter	Achromobacter	genus	1e-05	abund	1e-05	222	1||1224|28216|80840|506|222	0	0	1	1	1.7419150753691815e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
234	234	Brucella	Brucella	genus	1e-05	abund	1e-05	234	1||1224|28211|356|118882|234	0	0	1	1	1.7419150753691815e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
237	237	Flavobacterium	Flavobacterium	genus	6e-05	abund	6e-05	237	1||976|117743|200644|49546|237	0	0	5	5	0.00010451490452215089	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
265	265	Paracoccus	Paracoccus	genus	1e-05	abund	1e-05	265	1||1224|28211|204455|31989|265	0	0	1	1	1.7419150753691815e-05	0.5740808000000001	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
