taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	816	Bacteroides	Bacteroides	genus	39.464674456853174	abund_weighted	0.3946467445685317	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0072795672047572	0.3946467445685317	46801000	0.8531701714245754	26903592	62.027473059676986	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	375288	Parabacteroides	Parabacteroides	genus	10.56108046836273	abund_weighted	0.1056108046836273	;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0015316317656726	0.1056108046836273	9847000	0.8113318551062383	26903592	16.59907609142063	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	561	Escherichia	Escherichia	genus	0.8757715326637401	abund_weighted	0.0087577153266374	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0011200650294108	0.0087577153266374	7201000	0.8031826121518272	26903592	1.376468852115388	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	1485	Clostridium	Clostridium	genus	0.66374779992203	abund_weighted	0.0066374779992203	;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.001028605754686	0.0066374779992203	6613000	0.8009786383736335	26903592	1.043226615820574	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	909656	Phocaeicola	Phocaeicola	genus	3.2816844680070902	abund_weighted	0.0328168446800709	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0009245474982388	0.0328168446800709	5944000	0.7982276168113129	26903592	5.157893679123514	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	544	Citrobacter	Citrobacter	genus	0.21975132539922	abund_weighted	0.0021975132539922	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0007322963697356	0.0021975132539922	4708000	0.7922474812492973	26903592	0.3453878589808417	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	2759736	Lacticaseibacillus	Lacticaseibacillus	genus	2.4833561258288404	abund_weighted	0.0248335612582884	;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0006784784971934	0.0248335612582884	4362000	0.7902990988299244	26903592	3.9031439461344215	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	1350	Enterococcus	Enterococcus	genus	2.3337143976908297	abund_weighted	0.0233371439769083	;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0005364677525951	0.0233371439769083	3449000	0.7843346601711852	26903592	3.667948840931365	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	946234	Flavonifractor	Flavonifractor	genus	0.09809842492407	abund_weighted	0.0009809842492407	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0005291572323365	0.0009809842492407	3402000	0.783987584393684	26903592	0.15418339294365704	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	3025755	Thomasclavelia	Thomasclavelia	genus	0.23205451524837	abund_weighted	0.0023205451524837	;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0005269796305574	0.0023205451524837	3388000	0.7838833028435188	26903592	0.3647250456526989	0.6362450783523614	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
