taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	28116	Bacteroides ovatus	Bacteroides ovatus	species	16.89839037107015	abund_weighted	0.1689839037107015	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0014076640072445	0.1689839037107015	9050000	0.8091258885937979	26903592	26.55956163123609	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	562	Escherichia coli	Escherichia coli	species	0.8757715326637401	abund_weighted	0.0087577153266374	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0011200650294108	0.0087577153266374	7201000	0.8031826121518272	26903592	1.3764688521153905	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	1522	[Clostridium] innocuum	[Clostridium] innocuum	species	0.66195993456933	abund_weighted	0.0066195993456933	;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;[Clostridium] innocuum		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0009592335837212	0.0066195993456933	6167000	0.7991765311517953	26903592	1.0404165896002866	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	674529	Bacteroides faecis	Bacteroides faecis	species	3.49583059392218	abund_weighted	0.0349583059392218	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0009516119774941	0.0349583059392218	6118000	0.7989709049902933	26903592	5.494471726170502	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	3.0244028381042902	abund_weighted	0.0302440283810429	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola vulgatus		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0008791289468448	0.0302440283810429	5652000	0.7969316057347307	26903592	4.753518637717994	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	823	Parabacteroides distasonis	Parabacteroides distasonis	species	3.8170739431374	abund_weighted	0.038170739431374	;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides distasonis		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0008088235179747	0.038170739431374	5200000	0.7947917444904689	26903592	5.999376770068243	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	291644	Bacteroides salyersiae	Bacteroides salyersiae	species	0.40981888217751	abund_weighted	0.0040981888217751	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides salyersiae		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0007495616409847	0.0040981888217751	4819000	0.7928432515899884	26903592	0.6441211038343737	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	546	Citrobacter freundii	Citrobacter freundii	species	0.21920492995878998	abund_weighted	0.0021920492995879	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter freundii		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0007214083608398	0.0021920492995879	4638000	0.7918647405668784	26903592	0.3445290775787999	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	371601	Bacteroides xylanisolvens	Bacteroides xylanisolvens	species	4.58798587192372	abund_weighted	0.0458798587192372	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides xylanisolvens		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.000694032795616	0.0458798587192372	4462000	0.7908771571610554	26903592	7.211035539645992	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
	291645	Bacteroides nordii	Bacteroides nordii	species	0.27313824860264	abund_weighted	0.0027313824860264	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides nordii		c62c46e3	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/ont/DYN_0004_D10_Zymo.fastq	0.0006881221622154	0.0027313824860264	4424000	0.7906589859914285	26903592	0.42929722821584276	0.6362450783523603	DYN_0004_D10_Zymo-report.csv.summarized	DYN_0004_D10	ont_zymo	sourmash	unified	sourmash_unified
