taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28 sp003477885	AF33-28 sp003477885	species	0.0026	abund	0.0026	0.0832	0.08999653859466944	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Alistipes sp902363575	Alistipes sp902363575	species	0.0012	abund	0.0012	0.0222	0.04153686396677051	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Bacteroides sp900556625	Bacteroides sp900556625	species	0.0327	abund	0.0327	0.6158	1.1318795430944963	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	CAG-313 sp000433035	CAG-313 sp000433035	species	0.0004	abund	0.0004	0.0038	0.013845621322256838	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Clostridium sp900540255	Clostridium sp900540255	species	0.0002	abund	0.0002	0.0031	0.006922810661128419	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Coproplasma stercorigallinarum	Coproplasma stercorigallinarum	species	0.0032	abund	0.0032	0.0327	0.1107649705780547	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Emergencia sp904420065	Emergencia sp904420065	species	0.0026	abund	0.0026	0.0386	0.08999653859466944	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Flavonifractor avistercoris	Flavonifractor avistercoris	species	0.0002	abund	0.0002	0.0031	0.006922810661128419	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Muricomes sp000509105	Muricomes sp000509105	species	0.0002	abund	0.0002	0.005	0.006922810661128419	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Parasutterella sp900552195	Parasutterella sp900552195	species	0.0	abund	0.0	0.0004	0.0	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatavimonas sp900540275	Scatavimonas sp900540275	species	0.0001	abund	0.0001	0.0018	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatomonas hejianensis	Scatomonas hejianensis	species	0.0001	abund	0.0001	0.0018	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatomorpha merdavium	Scatomorpha merdavium	species	0.0	abund	0.0	0.0006	0.0	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Veillonella sp902466275	Veillonella sp902466275	species	0.0001	abund	0.0001	0.0005	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0	abund	0.0	0.0016	0.0	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.0099	abund	0.0099	0.3013	0.34267912772585674	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
562	562	Escherichia coli	Escherichia coli	species	0.0244	abund	0.0244	0.756	0.8445829006576671	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0003	abund	0.0003	0.0107	0.010384215991692628	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
820	820	Bacteroides uniformis	Bacteroides uniformis	species	0.2824	abund	0.2824	8.0595	9.775008653513327	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.0266	abund	0.0266	0.848	0.9207338179300796	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	0.1515	abund	0.1515	4.4929	5.244029075804777	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
853	853	Faecalibacterium prausnitzii_E	Faecalibacterium prausnitzii	species	0.0	abund	0.0	0.0007	0.0	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.0206	abund	0.0206	0.3075	0.7130494980962271	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.0065	abund	0.0065	0.0841	0.22499134648667363	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.0001	abund	0.0001	0.0016	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1353	1353	Enterococcus_D gallinarum	Enterococcus gallinarum	species	0.1538	abund	0.1538	3.5782	5.323641398407753	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1358	1358	Lactococcus lactis	Lactococcus lactis	species	0.0003	abund	0.0003	0.004	0.010384215991692628	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1382	1382	Lancefieldella parvula	Lancefieldella parvula	species	0.0	abund	0.0	0.0004	0.0	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1491	1491	Clostridium_F botulinum_A	Clostridium botulinum	species	0.0001	abund	0.0001	0.0035	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1522	1522	Clostridium_AQ innocuum	Clostridium innocuum	species	0.0282	abund	0.0282	0.8193	0.9761163032191069	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.0137	abund	0.0137	0.2743	0.4742125302872967	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1584	1584	Lactobacillus delbrueckii	Lactobacillus delbrueckii	species	0.0001	abund	0.0001	0.0008	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1613	1613	Limosilactobacillus fermentum	Limosilactobacillus fermentum	species	0.0001	abund	0.0001	0.0011	0.0034614053305642095	0.02889	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
