taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	8303437	5	0	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5456382	76	14	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1035569	2	1	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	1035566	28	23	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	5684294	17	6	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3434371	40	29	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
22	22	Shewanella	Shewanella	genus	0.00156889	abund	1.56889e-05	2480118	1587	894	0.0015689049112188914	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	3299975	36	18	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	1035569	7	3	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	0	59	23	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	1035558	8	1	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	0	302	245	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	1035554	3	2	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	1035555	2	2	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	1035553	1	1	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	0	45	25	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	0	324	222	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	17308306	9	3	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	2388828	267	114	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	1035563	130	38	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	1035568	128	35	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	1035574	6	5	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	1035565	1	1	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
99	99	Ancylobacter	Ancylobacter	genus	2.4857e-55	abund	2.4857e-57	1035570	182	17	2.4857236248664972e-55	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	3821145	13	7	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
107	107	Spirosoma	Spirosoma	genus	0.00526687	abund	5.26687e-05	0	1498	431	0.005266920057971842	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	3106835	221	83	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	8771787	66	9	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	1035567	2	2	0.0	0.9999904957790718	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
