taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.00555	abund	0.00555	194	1||29547|3031852|213849|72294|194	0	0	63	63	0.008500593356732686	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
286	286	Pseudomonas	Pseudomonas	genus	0.00208	abund	0.00208	286	1||1224|1236|72274|135621|286	0	0	74	74	0.0031858079607214387	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
544	544	Citrobacter	Citrobacter	genus	0.01008	abund	0.01008	544	1||1224|1236|91347|543|544	0	0	326	326	0.015438915501957742	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
547	547	Enterobacter	Enterobacter	genus	0.01199	abund	0.01199	547	1||1224|1236|91347|543|547	0	0	377	377	0.01836434492742791	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
561	561	Escherichia	Escherichia	genus	0.20714	abund	0.20714	561	1||1224|1236|91347|543|561	0	0	6577	6577	0.31726358701146096	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
570	570	Klebsiella	Klebsiella	genus	0.00602	abund	0.00602	570	1||1224|1236|91347|543|570	0	0	208	208	0.009220463424780317	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
590	590	Salmonella	Salmonella	genus	0.0001	abund	0.0001	590	1||1224|1236|91347|543|590	0	0	3	3	0.0001531638442654538	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
620	620	Shigella	Shigella	genus	3e-05	abund	3e-05	620	1||1224|1236|91347|543|620	0	0	1	1	4.594915327963614e-05	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
724	724	Haemophilus	Haemophilus	genus	0.00189	abund	0.00189	724	1||1224|1236|135625|712|724	0	0	24	24	0.0028947966566170765	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
816	816	Bacteroides	Bacteroides	genus	13.42113	abund	13.42113	816	1||976|200643|171549|815|816	0	0	445623	445623	20.5563186518641	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
830	830	Butyrivibrio	Butyrivibrio	genus	0.00037	abund	0.00037	830	1||1239|186801|3085636|186803|830	0	0	10	10	0.000566706223782179	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
836	836	Porphyromonas	Porphyromonas	genus	0.00021	abund	0.00021	836	1||976|200643|171549|171551|836	0	0	3	3	0.00032164407295745296	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
838	838	Prevotella	Prevotella	genus	0.0054	abund	0.0054	838	1||976|200643|171549|171552|838	0	0	94	94	0.008270847590334505	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
841	841	Roseburia	Roseburia	genus	0.14972	abund	0.14972	841	1||1239|186801|3085636|186803|841	0	0	3669	3669	0.2293169076342374	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
846	846	Oxalobacter	Oxalobacter	genus	0.08101	abund	0.08101	846	1||1224|28216|80840|75682|846	0	0	1226	1226	0.1240780302394441	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
872	872	Desulfovibrio	Desulfovibrio	genus	0.07717	abund	0.07717	872	1||200940|3031449|213115|194924|872	0	0	1465	1465	0.1181965386196507	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
906	906	Megasphaera	Megasphaera	genus	0.00057	abund	0.00057	906	1||1239|909932|1843489|31977|906	0	0	9	9	0.0008730339123130865	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1257	1257	Peptostreptococcus	Peptostreptococcus	genus	8e-05	abund	8e-05	1257	1||1239|186801|3082720|186804|1257	0	0	1	1	0.00012253107541236304	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1263	1263	Ruminococcus	Ruminococcus	genus	0.00484	abund	0.00484	1263	1||1239|186801|186802|216572|1263	0	0	114	114	0.007413130062447963	0.6528955999999999	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
