taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0004	abund	0.0004	0.001	0.0004000028000196002	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
562	562	Escherichia coli	Escherichia coli	species	0.2475	abund	0.2475	0.4082	0.24750173251212762	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0058	abund	0.0058	0.0096	0.005800040600284202	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	1.2024	abund	1.2024	1.9484	1.202408416858918	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	1.7549	abund	1.7549	3.54	1.7549122843859906	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	8.3194	abund	8.3194	12.4583	8.319458236207653	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.7149	abund	0.7149	1.1927	0.7149050043350303	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	0.8774	abund	0.8774	1.4325	0.8774061418429929	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
847	847	Oxalobacter formigenes	Oxalobacter formigenes	species	0.1074	abund	0.1074	0.0832	0.10740075180526265	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
876	876	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	species	0.003	abund	0.003	0.0032	0.003000021000147001	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1304	1304	Streptococcus salivarius	Streptococcus salivarius	species	0.0158	abund	0.0158	0.0113	0.015800110600774207	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.005	abund	0.005	0.0029	0.005000035000245002	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1318	1318	Streptococcus parasanguinis	Streptococcus parasanguinis	species	0.0021	abund	0.0021	0.0014	0.002100014700102901	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1328	1328	Streptococcus anginosus	Streptococcus anginosus	species	0.0022	abund	0.0022	0.0014	0.002200015400107801	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1343	1343	Streptococcus vestibularis	Streptococcus vestibularis	species	0.0585	abund	0.0585	0.036	0.05850040950286653	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1502	1502	Clostridium perfringens	Clostridium perfringens	species	0.0004	abund	0.0004	0.0004	0.0004000028000196002	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1512	1512	[Clostridium] symbiosum	[Clostridium] symbiosum	species	0.0232	abund	0.0232	0.0388	0.023200162401136808	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1522	1522	[Clostridium] innocuum	[Clostridium] innocuum	species	0.0136	abund	0.0136	0.0209999999999999	0.013600095200666405	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.1029	abund	0.1029	0.1053	0.10290072030504216	0.9999929999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
